#PROJECT_DESCRIPTION=New experiment for element analysis of apples
#ALTERNATIVE_NAME=
#INVESTIGATOR=
#CONTACT=
#MANAGER=
#EXP QVGVNE1:Q_EXPERIMENTAL_DESIGN:{Q_SECONDARY_NAME=2018-05-15_UVB134679}
#EXP QVGVNE2:Q_SAMPLE_EXTRACTION:{Q_SECONDARY_NAME=2018-05-15-258852}
Identifier	SAMPLE TYPE	SPACE	EXPERIMENT	Q_SECONDARY_NAME	PARENT	Q_PRIMARY_TISSUE	Q_TISSUE_DETAILED	Q_ADDITIONAL_INFO	Q_NCBI_ORGANISM	Q_SAMPLE_TYPE	Q_EXTERNALDB_ID	Condition: genotype	Condition: phenotype	Condition: species	Condition: extraction_time	Condition: growth_medium
QVGVNENTITY-1	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen1 ; colour ; Cavia aperea					37548			gen1	colour	Cavia aperea		
QVGVNENTITY-2	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen1 ; colour ; Rosa wichurana					74648			gen1	colour	Rosa wichurana		
QVGVNENTITY-3	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen1 ; colour ; Escherichia coli					562			gen1	colour	Escherichia coli		
QVGVNENTITY-4	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen1 ; colour ; Brassica oleracea var. viridis					3713			gen1	colour	Brassica oleracea var. viridis		
QVGVNENTITY-5	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen1 ; volume ; Cavia aperea					37548			gen1	volume	Cavia aperea		
QVGVNENTITY-6	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen1 ; volume ; Rosa wichurana					74648			gen1	volume	Rosa wichurana		
QVGVNENTITY-7	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen1 ; volume ; Escherichia coli					562			gen1	volume	Escherichia coli		
QVGVNENTITY-8	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen1 ; volume ; Brassica oleracea var. viridis					3713			gen1	volume	Brassica oleracea var. viridis		
QVGVNENTITY-9	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen1 ; weigh ; Cavia aperea					37548			gen1	weigh	Cavia aperea		
QVGVNENTITY-10	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen1 ; weigh ; Rosa wichurana					74648			gen1	weigh	Rosa wichurana		
QVGVNENTITY-11	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen1 ; weigh ; Escherichia coli					562			gen1	weigh	Escherichia coli		
QVGVNENTITY-12	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen1 ; weigh ; Brassica oleracea var. viridis					3713			gen1	weigh	Brassica oleracea var. viridis		
QVGVNENTITY-13	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen2 ; colour ; Cavia aperea					37548			gen2	colour	Cavia aperea		
QVGVNENTITY-14	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen2 ; colour ; Rosa wichurana					74648			gen2	colour	Rosa wichurana		
QVGVNENTITY-15	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen2 ; colour ; Escherichia coli					562			gen2	colour	Escherichia coli		
QVGVNENTITY-16	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen2 ; colour ; Brassica oleracea var. viridis					3713			gen2	colour	Brassica oleracea var. viridis		
QVGVNENTITY-17	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen2 ; volume ; Cavia aperea					37548			gen2	volume	Cavia aperea		
QVGVNENTITY-18	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen2 ; volume ; Rosa wichurana					74648			gen2	volume	Rosa wichurana		
QVGVNENTITY-19	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen2 ; volume ; Escherichia coli					562			gen2	volume	Escherichia coli		
QVGVNENTITY-20	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen2 ; volume ; Brassica oleracea var. viridis					3713			gen2	volume	Brassica oleracea var. viridis		
QVGVNENTITY-21	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen2 ; weigh ; Cavia aperea					37548			gen2	weigh	Cavia aperea		
QVGVNENTITY-22	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen2 ; weigh ; Rosa wichurana					74648			gen2	weigh	Rosa wichurana		
QVGVNENTITY-23	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen2 ; weigh ; Escherichia coli					562			gen2	weigh	Escherichia coli		
QVGVNENTITY-24	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen2 ; weigh ; Brassica oleracea var. viridis					3713			gen2	weigh	Brassica oleracea var. viridis		
QVGVNENTITY-25	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen3 ; colour ; Cavia aperea					37548			gen3	colour	Cavia aperea		
QVGVNENTITY-26	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen3 ; colour ; Rosa wichurana					74648			gen3	colour	Rosa wichurana		
QVGVNENTITY-27	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen3 ; colour ; Escherichia coli					562			gen3	colour	Escherichia coli		
QVGVNENTITY-28	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen3 ; colour ; Brassica oleracea var. viridis					3713			gen3	colour	Brassica oleracea var. viridis		
QVGVNENTITY-29	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen3 ; volume ; Cavia aperea					37548			gen3	volume	Cavia aperea		
