#PROJECT_DESCRIPTION=
#ALTERNATIVE_NAME=
#INVESTIGATOR=
#CONTACT=
#MANAGER=
#EXP QLKPXE10:Q_SAMPLE_PREPARATION:{Q_ADDITIONAL_INFO=Short Gel}
#EXP QLKPXE11:Q_MS_MEASUREMENT:{Q_MS_DEVICE=MPC_ABSCIEX_6500##Q_MS_LCMS_METHOD=300-1500MZ_TS3SHCD30_10S_5E4_7P5E5AGC_150MS##Q_CHROMATOGRAPHY_TYPE=DIRECT_INFUSION}
Identifier	SAMPLE TYPE	SPACE	EXPERIMENT	Q_SECONDARY_NAME	PARENT	Q_PRIMARY_TISSUE	Q_TISSUE_DETAILED	Q_ADDITIONAL_INFO	Q_NCBI_ORGANISM	Q_SAMPLE_TYPE	Q_EXTERNALDB_ID
QLKPXENTITY-2	Q_BIOLOGICAL_ENTITY	2018-3-0002	QLKPXE7	78a1					208439		
QLKPXENTITY-3	Q_BIOLOGICAL_ENTITY	2018-3-0002	QLKPXE7	78a2					208439		
QLKPXENTITY-4	Q_BIOLOGICAL_ENTITY	2018-3-0002	QLKPXE7	93d1					208439		
QLKPXENTITY-5	Q_BIOLOGICAL_ENTITY	2018-3-0002	QLKPXE7	93d2					208439		
QLKPXENTITY-6	Q_BIOLOGICAL_ENTITY	2018-3-0002	QLKPXE7	66p9					208439		
QLKPX004AL	Q_BIOLOGICAL_SAMPLE	2018-3-0002	QLKPXE8	78a1	QLKPXENTITY-2	APPENDIX					
QLKPX005AT	Q_BIOLOGICAL_SAMPLE	2018-3-0002	QLKPXE8	78a1	QLKPXENTITY-2	APPENDIX					
QLKPX006A3	Q_BIOLOGICAL_SAMPLE	2018-3-0002	QLKPXE8	78a2	QLKPXENTITY-3	APPENDIX					
QLKPX007AB	Q_BIOLOGICAL_SAMPLE	2018-3-0002	QLKPXE8	78a2	QLKPXENTITY-3	APPENDIX					
QLKPX008AJ	Q_BIOLOGICAL_SAMPLE	2018-3-0002	QLKPXE8	93d1	QLKPXENTITY-4	APPENDIX					
QLKPX009AR	Q_BIOLOGICAL_SAMPLE	2018-3-0002	QLKPXE8	93d1	QLKPXENTITY-4	APPENDIX					
QLKPX010AU	Q_BIOLOGICAL_SAMPLE	2018-3-0002	QLKPXE8	93d2	QLKPXENTITY-5	APPENDIX					
QLKPX011A4	Q_BIOLOGICAL_SAMPLE	2018-3-0002	QLKPXE8	93d2	QLKPXENTITY-5	APPENDIX					
QLKPX012AC	Q_BIOLOGICAL_SAMPLE	2018-3-0002	QLKPXE8	66p9	QLKPXENTITY-6	APPENDIX					
QLKPX013AK	Q_BIOLOGICAL_SAMPLE	2018-3-0002	QLKPXE8	66p9	QLKPXENTITY-6	APPENDIX					
QLKPX014AS	Q_TEST_SAMPLE	2018-3-0002	QLKPXE10	78a1	QLKPX004AL					PROTEINS	
QLKPX015A2	Q_TEST_SAMPLE	2018-3-0002	QLKPXE10	78a1	QLKPX005AT					PROTEINS	
QLKPX016AA	Q_TEST_SAMPLE	2018-3-0002	QLKPXE10	78a2	QLKPX006A3					PROTEINS	
QLKPX017AI	Q_TEST_SAMPLE	2018-3-0002	QLKPXE10	78a2	QLKPX007AB					PROTEINS	
QLKPX018AQ	Q_TEST_SAMPLE	2018-3-0002	QLKPXE10	93d1	QLKPX008AJ					PROTEINS	
QLKPX019A0	Q_TEST_SAMPLE	2018-3-0002	QLKPXE10	93d1	QLKPX009AR					PROTEINS	
QLKPX020A3	Q_TEST_SAMPLE	2018-3-0002	QLKPXE10	93d2	QLKPX010AU					PROTEINS	
QLKPX021AB	Q_TEST_SAMPLE	2018-3-0002	QLKPXE10	93d2	QLKPX011A4					PROTEINS	
QLKPX022AJ	Q_TEST_SAMPLE	2018-3-0002	QLKPXE10	66p9	QLKPX012AC					PROTEINS	
QLKPX023AR	Q_TEST_SAMPLE	2018-3-0002	QLKPXE10	66p9	QLKPX013AK					PROTEINS	
MSQLKPX014AS	Q_MS_RUN	2018-3-0002	QLKPXE11	78a1 run	QLKPX014AS						 run
MSQLKPX015A2	Q_MS_RUN	2018-3-0002	QLKPXE11	78a1 run	QLKPX015A2						 run
MSQLKPX016AA	Q_MS_RUN	2018-3-0002	QLKPXE11	78a2 run	QLKPX016AA						 run
MSQLKPX017AI	Q_MS_RUN	2018-3-0002	QLKPXE11	78a2 run	QLKPX017AI						 run
MSQLKPX018AQ	Q_MS_RUN	2018-3-0002	QLKPXE11	93d1 run	QLKPX018AQ						 run
MSQLKPX019A0	Q_MS_RUN	2018-3-0002	QLKPXE11	93d1 run	QLKPX019A0						 run
MSQLKPX020A3	Q_MS_RUN	2018-3-0002	QLKPXE11	93d2 run	QLKPX020A3						 run
MSQLKPX021AB	Q_MS_RUN	2018-3-0002	QLKPXE11	93d2 run	QLKPX021AB						 run
MSQLKPX022AJ	Q_MS_RUN	2018-3-0002	QLKPXE11	66p9 run	QLKPX022AJ						 run
MSQLKPX023AR	Q_MS_RUN	2018-3-0002	QLKPXE11	66p9 run	QLKPX023AR						 run
